Rank,Country,January,February,March,April,May,June,July,August,September,October,Jan-Oct Total,% Share,RankingType
22,RUSSIAN,3611,4 154,3099,2470,1345,1086,1266,1201,1267,1885,21384,0.48,Ranking by Nationality
23,IRISH,1618,1 277,2107,1739,1292,2707,2158,1204,1046,1274,16422,0.37,Ranking by Nationality
24,NORWEGIAN,1543,1 709,1555,1265,7 60,3210,3452,858,866,1024,16242,0.37,Ranking by Nationality
25,SWISS,2016,2 095,2368,2547,1116,8 20,1875,764,1048,1434,16083,0.36,Ranking by Nationality
26,SAUDI ARABIAN,1150,1 699,1512,1383,1708,1493,1509,1131,1238,1261,14084,0.32,Ranking by Nationality
27,SWEDISH,1983,1 910,1873,1364,8 86,1672,1325,710,757,1014,13494,0.30,Ranking by Nationality
28,BELGIAN,1310,1 349,1454,1283,9 36,1035,2288,871,827,1172,12525,0.28,Ranking by Nationality
29,ISRAELI,1935,1 657,1957,1354,8 61,7 06,1076,892,1338,658,12434,0.28,Ranking by Nationality
30,AUSTRIAN,1788,1 468,1286,1176,7 98,8 13,1442,846,570,912,11099,0.25,Ranking by Nationality
31,DANISH,1537,1 363,1355,1154,7 82,8 71,1098,516,713,970,10359,0.23,Ranking by Nationality
32,TURKISH,934,1 155,1297,1075,7 64,8 57,7 79,785,797,909,9352,0.21,Ranking by Nationality
33,POLISH,1138,1 483,1456,1250,6 54,4 72,4 94,440,556,1016,8959,0.20,Ranking by Nationality
34,BRAZILIAN,691,674,762,949,4 76,4 94,4 35,521,522,612,6136,0.14,Ranking by Nationality
35,BURMESE,437,363,421,533,6 50,6 44,6 57,598,752,667,5722,0.13,Ranking by Nationality
36,SOUTH AFRICAN,630,440,568,803,4 08,4 80,5 99,470,545,488,5431,0.12,Ranking by Nationality
37,PORTUGUESE,548,550,766,856,4 63,2 86,3 42,464,408,556,5239,0.12,Ranking by Nationality
38,ROMANIAN,639,761,702,567,3 16,3 22,2 74,375,324,445,4725,0.11,Ranking by Nationality
39,CZECH,635,901,832,503,2 66,2 01,2 83,226,284,504,4635,0.10,Ranking by Nationality
40,MONGOLIAN,1014,820,551,324,2 74,5 03,3 72,243,233,222,4556,0.10,Ranking by Nationality
41,PAPUA NEW GUINEAN,323,355,380,392,3 97,5 27,4 62,395,653,505,4389,0.10,Ranking by Nationality
42,PAKISTANI,418,416,441,313,3 95,3 60,4 36,417,509,435,4140,0.09,Ranking by Nationality
43,NEPALESE,319,302,470,492,3 21,4 19,3 82,432,422,395,3954,0.09,Ranking by Nationality
44,FINNISH,553,453,511,403,2 80,4 40,3 48,306,234,306,3834,0.09,Ranking by Nationality
45,BRUNEIAN,285,410,381,575,3 27,3 88,3 65,369,328,389,3817,0.09,Ranking by Nationality
46,BANGLADESHI,289,346,391,479,2 88,2 95,3 02,383,538,429,3740,0.08,Ranking by Nationality
47,KUWAITI,310,405,356,438,3 66,4 46,3 46,416,218,284,3585,0.08,Ranking by Nationality
48,MOROCCAN,280,444,306,362,4 06,2 58,3 18,383,373,366,3496,0.08,Ranking by Nationality
49,EMIRATI,222,342,328,281,3 12,3 70,5 26,362,314,264,3321,0.07,Ranking by Nationality
50,MEXICAN,294,254,424,435,2 75,2 74,2 96,317,353,363,3285,0.07,Ranking by Nationality
51,BAHRAINI,197,317,269,262,2 96,3 29,3 15,348,385,393,3111,0.07,Ranking by Nationality
52,GREEK,338,379,394,331,2 09,2 11,1 85,449,240,268,3004,0.07,Ranking by Nationality
53,NIGERIAN,385,424,306,308,2 72,2 61,2 50,302,232,228,2968,0.07,Ranking by Nationality
54,EGYPTIAN,169,338,306,314,2 64,2 86,3 24,294,339,299,2933,0.07,Ranking by Nationality
55,COLOMBIAN,311,219,294,371,2 53,2 61,2 20,238,307,316,2790,0.06,Ranking by Nationality
56,CAMBODIAN,212,286,350,322,2 45,2 35,2 12,294,272,311,2739,0.06,Ranking by Nationality
57,SRI LANKAN,204,236,338,249,2 65,3 32,3 02,239,293,275,2733,0.06,Ranking by Nationality
58,HUNGARIAN,316,362,358,241,2 39,2 23,1 54,161,188,224,2466,0.06,Ranking by Nationality
59,GUAMANIAN,192,204,349,213,1 30,2 82,3 19,171,251,268,2379,0.05,Ranking by Nationality
60,TUNISIAN,163,307,246,251,2 31,1 47,1 81,209,235,222,2192,0.05,Ranking by Nationality
61,LITHUANIAN,316,365,276,172,1 06,66,1 11,431,163,144,2150,0.05,Ranking by Nationality
62,MACANESE,109,96,183,315,1 49,2 17,2 21,216,237,290,2033,0.05,Ranking by Nationality
63,ARGENTINE,331,247,297,271,1 73,1 11,1 18,137,167,180,2032,0.05,Ranking by Nationality
64,OMANI,118,178,204,192,2 00,2 43,3 03,186,223,164,2011,0.05,Ranking by Nationality
65,BULGARIAN,371,354,320,192,1 50,88,1 02,96,109,182,1964,0.04,Ranking by Nationality
66,SLOVAK,265,341,299,294,1 43,87,1 09,90,115,220,1963,0.04,Ranking by Nationality
67,UKRAINIAN,148,214,204,183,1 09,1 38,1 67,125,164,171,1623,0.04,Ranking by Nationality
68,KAZAKH,251,197,241,138,1 37,1 26,1 30,115,141,121,1597,0.04,Ranking by Nationality
69,CHILEAN,196,212,197,192,1 54,1 38,97,100,113,163,1562,0.04,Ranking by Nationality
70,ARMENIAN,189,186,179,192,1 13,1 24,1 79,135,99,82,1478,0.03,Ranking by Nationality
71,NORTH KOREAN,178,211,238,132,1 15,1 38,1 33,178,63,30,1416,0.03,Ranking by Nationality
72,URUGUAYAN,81,100,592,417,68,33,29,21,21,38,1400,0.03,Ranking by Nationality
73,CROATIAN,186,172,183,179,1 07,1 28,81,80,120,127,1363,0.03,Ranking by Nationality
74,SERBIAN,54,106,139,114,87,76,89,300,280,101,1346,0.03,Ranking by Nationality
75,LEBANESE,66,155,147,185,1 27,1 48,1 13,125,147,127,1340,0.03,Ranking by Nationality
76,IRANIAN,94,128,352,96,1 03,92,89,100,114,98,1266,0.03,Ranking by Nationality
77,KENYAN,76,90,95,142,99,95,1 40,118,162,162,1179,0.03,Ranking by Nationality
78,QATARI,109,112,133,168,1 01,1 16,1 20,107,102,89,1157,0.03,Ranking by Nationality
79,SLOVENIAN,172,141,118,160,54,55,1 08,65,155,128,1156,0.03,Ranking by Nationality
80,LATVIAN,149,168,133,92,58,42,87,67,240,84,1120,0.03,Ranking by Nationality
81,UZBEK,124,156,106,86,1 06,1 27,1 17,131,90,64,1107,0.02,Ranking by Nationality
82,PERUVIAN,95,121,113,124,94,85,84,116,150,110,1092,0.02,Ranking by Nationality
83,MALDIVIAN,115,99,97,43,72,91,1 99,117,127,128,1088,0.02,Ranking by Nationality
84,ICELANDIC,86,74,86,91,1 40,2 48,1 50,50,68,61,1054,0.02,Ranking by Nationality
85,JORDANIAN,99,108,94,85,93,1 09,1 05,119,119,69,1000,0.02,Ranking by Nationality
86,PALAUAN,76,122,165,89,49,96,1 03,72,96,91,959,0.02,Ranking by Nationality
87,ESTONIAN,185,218,107,86,49,32,34,37,47,62,857,0.02,Ranking by Nationality
88,CYPRIOT,66,79,96,89,64,78,1 19,116,60,65,832,0.02,Ranking by Nationality
89,GHANAIAN,50,56,52,89,60,61,72,130,91,136,797,0.02,Ranking by Nationality
90,AMERICAN SAMOAN,121,123,86,90,59,83,86,72,26,35,781,0.02,Ranking by Nationality
91,MICRONESIAN,64,75,99,103,52,84,92,63,64,71,767,0.02,Ranking by Nationality
92,LAO,59,81,78,160,74,62,50,51,60,74,749,0.02,Ranking by Nationality
93,MALTESE,86,97,132,91,84,44,61,56,40,40,731,0.02,Ranking by Nationality
94,SYRIAN,51,78,71,55,64,76,68,75,86,73,697,0.02,Ranking by Nationality
95,FIJIAN,43,62,82,70,54,79,65,55,102,65,677,0.02,Ranking by Nationality
96,CAMEROONIAN,41,65,54,96,55,60,55,76,80,89,671,0.02,Ranking by Nationality
97,BELARUSIAN,58,64,63,53,35,42,45,41,40,64,505,0.01,Ranking by Nationality
98,LUXEMBOURGER,38,51,87,73,28,11,44,83,30,42,487,0.01,Ranking by Nationality
99,KYRGYZ,57,59,59,47,62,45,32,27,38,59,485,0.01,Ranking by Nationality
100,ECUADOREAN,48,64,65,82,30,33,20,33,61,43,479,0.01,Ranking by Nationality
101,SOLOMON ISLANDER,24,19,15,36,41,49,95,55,82,50,466,0.01,Ranking by Nationality
101,COSTA RICAN,63,56,65,73,31,32,23,25,48,50,466,0.01,Ranking by Nationality
102,CITIZEN OF VANUATU,39,42,50,57,55,38,48,48,41,39,457,0.01,Ranking by Nationality
103,VENEZUELAN,29,35,51,76,36,40,34,63,47,40,451,0.01,Ranking by Nationality
104,MARSHALLESE,32,61,40,46,41,45,46,46,40,52,449,0.01,Ranking by Nationality
105,MAURITIAN,33,51,56,57,36,42,41,43,38,49,446,0.01,Ranking by Nationality
106,ZIMBABWEAN,28,37,40,55,27,31,50,55,53,57,433,0.01,Ranking by Nationality
107,ETHIOPIAN,26,33,60,42,40,24,30,50,50,56,411,0.01,Ranking by Nationality
108,YEMENI,52,53,16,32,35,47,42,60,40,32,409,0.01,Ranking by Nationality
109,DOMINICAN,24,69,46,21,39,24,36,78,40,31,408,0.01,Ranking by Nationality
110,EAST TIMORESE,41,53,21,25,20,39,65,54,46,21,385,0.01,Ranking by Nationality
111,JAMAICAN,37,25,46,44,23,32,55,45,33,34,374,0.01,Ranking by Nationality
112,KITTITIAN,37,48,37,43,29,36,29,44,36,29,368,0.01,Ranking by Nationality
113,CONGOLESE (CONGO),41,33,26,38,18,31,42,57,38,34,358,0.01,Ranking by Nationality
114,ALGERIAN,19,32,27,32,28,30,36,37,52,62,355,0.01,Ranking by Nationality
115,UGANDAN,20,28,25,37,32,43,30,32,53,52,352,0.01,Ranking by Nationality
116,SUDANESE,47,32,39,36,16,27,35,46,33,37,348,0.01,Ranking by Nationality
117,TANZANIAN,32,24,22,28,27,27,38,35,31,42,306,0.01,Ranking by Nationality
118,SALVADOREAN,28,22,26,42,26,25,37,24,37,27,294,0.01,Ranking by Nationality
119,TAJIK,30,19,26,23,20,35,16,23,27,47,266,0.01,Ranking by Nationality
120,ALBANIAN,19,39,24,23,25,26,29,19,30,29,263,0.01,Ranking by Nationality
121,NORTHERN MARIANAN,21,16,14,18,14,51,63,30,20,12,259,0.01,Ranking by Nationality
122,IRAQI,13,22,24,10,21,24,20,39,49,30,252,0.01,Ranking by Nationality
123,GUATEMALAN,20,23,34,29,28,16,29,28,10,34,251,0.01,Ranking by Nationality
124,BOSNIAN,25,33,25,24,18,14,25,19,29,36,248,0.01,Ranking by Nationality
125,HONDURAN,37,18,43,29,23,29,18,4,28,13,242,0.01,Ranking by Nationality
126,BHUTANESE,11,18,27,24,27,27,33,16,12,37,232,0.01,Ranking by Nationality
127,AFGHAN,22,20,24,19,21,22,25,30,33,14,230,0.01,Ranking by Nationality
128,ANGOLAN,16,13,8,18,15,21,25,65,26,20,227,0.01,Ranking by Nationality
129,IVORIAN,17,15,33,34,26,19,11,26,12,28,221,0.00,Ranking by Nationality
130,TRINIDADIAN,21,23,40,20,20,11,14,15,27,26,217,0.00,Ranking by Nationality
130,PANAMANIAN,24,31,29,21,13,19,20,20,17,23,217,0.00,Ranking by Nationality
131,BOLIVIAN,15,20,14,53,27,10,6,18,16,30,209,0.00,Ranking by Nationality
132,GEORGIAN,25,24,32,18,18,6,38,7,13,27,208,0.00,Ranking by Nationality
133,PALESTINIAN,19,26,19,16,9,22,30,25,24,9,199,0.00,Ranking by Nationality
134,PARAGUAYAN,42,39,12,18,12,14,12,18,14,9,190,0.00,Ranking by Nationality
135,NIGERIEN,24,25,33,14,21,15,11,17,5,10,175,0.00,Ranking by Nationality
136,MACEDONIAN,21,13,23,24,17,21,13,6,20,7,165,0.00,Ranking by Nationality
137,LIBERIAN,14,11,18,20,11,19,17,17,19,18,164,0.00,Ranking by Nationality
138,ZAMBIAN,19,11,17,14,11,13,13,16,35,11,160,0.00,Ranking by Nationality
139,MALAGASY,27,24,11,19,11,7,8,16,16,17,156,0.00,Ranking by Nationality
140,RWANDAN,16,12,18,11,8,10,17,30,15,18,155,0.00,Ranking by Nationality
141,TURKMEN,12,8,26,15,13,11,9,9,17,19,139,0.00,Ranking by Nationality
142,SENEGALESE,7,8,10,12,12,11,7,25,30,15,137,0.00,Ranking by Nationality
143,ERITREAN,12,22,13,11,10,9,18,18,13,5,131,0.00,Ranking by Nationality
144,MOLDOVAN,18,19,15,5,8,2,9,9,14,18,117,0.00,Ranking by Nationality
145,US VIRGIN ISLAND,15,16,16,10,12,10,11,15,5,4,114,0.00,Ranking by Nationality
145,NICARAGUAN,17,9,14,10,3,16,6,10,11,18,114,0.00,Ranking by Nationality
146,TONGAN,15,11,6,17,15,9,4,8,16,10,111,0.00,Ranking by Nationality
147,BAHAMIAN,19,11,7,8,6,15,10,5,8,20,109,0.00,Ranking by Nationality
148,ANDORRAN,5,9,11,14,11,11,7,8,18,14,108,0.00,Ranking by Nationality
149,MONTENEGRIN,3,5,11,5,9,13,7,37,8,7,105,0.00,Ranking by Nationality
150,SAMOAN,5,13,12,11,1,14,8,14,13,10,101,0.00,Ranking by Nationality
151,CITIZEN OF SEYCHELLES,4,6,6,13,12,11,8,15,11,14,100,0.00,Ranking by Nationality
152,MALAWIAN,15,13,6,5,4,9,10,17,11,8,98,0.00,Ranking by Nationality
153,BELIZEAN,22,7,5,12,4,6,12,11,5,5,89,0.00,Ranking by Nationality
154,ST LUCIAN,6,11,11,9,8,6,10,13,4,10,88,0.00,Ranking by Nationality
155,SWAZI,6,2,8,8,3,4,5,8,24,19,87,0.00,Ranking by Nationality
156,LIECHTENSTEIN CITIZEN,8,4,15,13,5,8,19,4,7,2,85,0.00,Ranking by Nationality
156,NAMIBIAN,7,12,5,18,8,6,9,5,5,10,85,0.00,Ranking by Nationality
157,CHADIAN,8,10,18,6,11,3,6,10,6,6,84,0.00,Ranking by Nationality
157,MOZAMBICAN,6,4,10,9,10,4,14,6,14,7,84,0.00,Ranking by Nationality
158,GUINEAN,3,10,9,1,8,8,5,25,7,5,81,0.00,Ranking by Nationality
158,SOUTH SUDANESE,2,4,3,3,-,1,2,47,14,5,81,0.00,Ranking by Nationality
159,BENINESE,7,6,11,4,4,9,8,15,5,8,77,0.00,Ranking by Nationality
160,BERMUDIAN,7,7,9,6,9,4,10,9,9,5,75,0.00,Ranking by Nationality
161,AZERBAIJANI,5,8,9,6,7,11,3,11,7,7,74,0.00,Ranking by Nationality
161,LIBYAN,4,13,4,8,5,7,10,11,10,2,74,0.00,Ranking by Nationality
162,BRITISH VIRGIN ISLANDER,6,1,5,12,4,4,23,11,5,2,73,0.00,Ranking by Nationality
163,COMORAN,7,6,8,5,9,7,3,7,9,11,72,0.00,Ranking by Nationality
163,HAITIAN,16,5,10,6,1,5,4,10,11,4,72,0.00,Ranking by Nationality
164,BURKINAN,1,-,6,14,3,29,3,1,8,6,71,0.00,Ranking by Nationality
165,CITIZEN OF ANTIGUA AND BARBUDA,4,10,6,2,7,13,8,5,7,5,67,0.00,Ranking by Nationality
166,GAMBIAN,6,5,6,6,2,5,5,10,8,12,65,0.00,Ranking by Nationality
167,CAYMAN ISLANDER,4,1,4,1,5,6,18,5,11,9,64,0.00,Ranking by Nationality
168,SOMALI,13,6,3,5,7,5,2,7,4,11,63,0.00,Ranking by Nationality
169,CITIZEN OF KIRIBATI,-,5,5,8,11,8,6,9,7,3,62,0.00,Ranking by Nationality
169,GRENADIAN,11,6,5,5,2,8,4,11,1,9,62,0.00,Ranking by Nationality
170,MOTSWANA,9,5,7,3,11,4,1,11,2,6,59,0.00,Ranking by Nationality
170,PUERTO RICAN,8,4,10,8,4,5,2,11,3,4,59,0.00,Ranking by Nationality
171,MALIAN,5,3,3,3,5,5,9,6,7,5,51,0.00,Ranking by Nationality
172,BURUNDIAN,3,-,7,4,1,5,5,6,10,8,49,0.00,Ranking by Nationality
173,TOGOLESE,8,3,5,3,-,5,2,3,9,10,48,0.00,Ranking by Nationality
174,BARBADIAN,-,5,9,2,6,5,4,5,2,9,47,0.00,Ranking by Nationality
174,CUBAN,2,4,6,4,11,4,5,3,5,3,47,0.00,Ranking by Nationality
174,GUYANESE,3,9,6,4,5,3,7,4,2,4,47,0.00,Ranking by Nationality
175,CAPE VERDEAN,5,4,4,6,1,6,5,7,1,3,42,0.00,Ranking by Nationality
176,FAROESE,2,5,3,3,6,3,3,8,3,3,39,0.00,Ranking by Nationality
177,TUVALUAN,-,2,7,5,2,4,1,-,6,11,38,0.00,Ranking by Nationality
178,SURINAMESE,1,2,1,5,2,1,-,3,14,4,33,0.00,Ranking by Nationality
179,GABONESE,1,1,-,1,3,1,3,6,10,4,30,0.00,Ranking by Nationality
180,VINCENTIAN,6,3,2,2,4,2,5,-,-,4,28,0.00,Ranking by Nationality
181,EQUATORIAL GUINEAN,6,4,-,7,1,-,3,2,2,2,27,0.00,Ranking by Nationality
182,ARUBA,-,3,2,1,-,2,5,4,3,4,24,0.00,Ranking by Nationality
183,SIERRA LEONEAN,-,-,2,-,2,5,1,1,6,5,22,0.00,Ranking by Nationality
184,GIBRALTARIAN,3,-,5,4,1,-,3,1,-,4,21,0.00,Ranking by Nationality
184,MAURITANIAN,3,4,5,4,1,1,-,1,-,2,21,0.00,Ranking by Nationality
185,REUNIONESE,1,5,1,3,1,2,1,-,-,5,19,0.00,Ranking by Nationality
186,CENTRAL AFRICAN,2,2,-,6,-,2,3,-,-,3,18,0.00,Ranking by Nationality
186,FRENCH POLYNESIAN,3,-,1,1,1,1,4,3,-,4,18,0.00,Ranking by Nationality
186,MONACAN,2,5,1,2,-,-,5,1,2,-,18,0.00,Ranking by Nationality
187,DJIBOUTIAN,-,3,2,1,3,2,2,2,-,-,15,0.00,Ranking by Nationality
187,VATICAN CITIZEN,1,4,2,1,-,1,3,2,1,-,15,0.00,Ranking by Nationality
188,CITIZEN OF GUINEA-BISSAU,2,3,2,1,3,1,1,1,-,-,14,0.00,Ranking by Nationality
188,FRENCH SOUTHERN TERRITORIES,5,3,1,1,-,2,1,1,-,-,14,0.00,Ranking by Nationality
188,BASOTHO,1,-,-,1,-,1,-,2,6,3,14,0.00,Ranking by Nationality
189,SAMMARINESE,1,4,1,1,-,1,1,2,1,1,13,0.00,Ranking by Nationality
190,SAO TOMEAN,,-,-,-,-,1,1,1,7,1,11,0.00,Ranking by Nationality
191,ANGUILLAN,1,1,3,-,1,1,1,1,-,1,10,0.00,Ranking by Nationality
192,MARTINIQUAIS,1,-,7,1,-,-,-,-,-,-,9,0.00,Ranking by Nationality
192,NAURUAN,-,-,-,2,1,2,-,-,-,4,9,0.00,Ranking by Nationality
193,FRENCH GUIANESE,-,-,5,2,-,-,-,-,-,-,7,0.00,Ranking by Nationality
194,COCOS ISLANDER,-,-,1,-,-,-,-,-,5,-,6,0.00,Ranking by Nationality
194,TURKS AND CAICOS ISLANDER,1,-,1,1,-,1,1,-,-,1,6,0.00,Ranking by Nationality
195,CURA̤AOAN,2,1,-,-,-,-,-,1,-,1,5,0.00,Ranking by Nationality
195,GUADELOUPE,-,-,-,2,1,1,-,-,1,-,5,0.00,Ranking by Nationality
195,WALLISIAN,-,-,2,1,-,1,1,-,-,-,5,0.00,Ranking by Nationality
196,COOK ISLANDER,1,1,-,1,-,1,-,-,-,-,4,0.00,Ranking by Nationality
197,ANTARCTIC,1,1,-,1,-,-,-,-,-,-,3,0.00,Ranking by Nationality
198,CHRISTMAS ISLANDER,-,-,-,1,-,1,-,-,-,-,2,0.00,Ranking by Nationality
198,GREENLANDIC,-,-,1,1,-,-,-,-,-,-,2,0.00,Ranking by Nationality
198,SAHRAWI,1,-,1,-,-,-,-,-,-,-,2,0.00,Ranking by Nationality
199,BARTHELEMY,-,-,-,-,-,-,-,-,1,-,1,0.00,Ranking by Nationality
199,MAHORAN,-,1,-,-,-,-,-,-,-,-,1,0.00,Ranking by Nationality
199,PITCAIRN ISLANDER,-,-,-,-,-,-,-,-,1,-,1,0.00,Ranking by Nationality
199,SAINT-PIERRAIS OR MIQUELONNAIS,-,-,1,-,-,-,-,-,-,-,1,0.00,Ranking by Nationality
199,SVALBARD,-,-,1,-,-,-,-,-,-,-,1,0.00,Ranking by Nationality
